id,timestamp,sensor,scene_id,class,detection_confidence,slick_confidence,area_km2,age_estimate_hours,centroid_lat,centroid_lon,polygon_wkt,hitl_reviewed
SLK-0035,2026-08-05T17:36:20Z,Sentinel-1B,Sentinel1B_20260805_173620_493,coincident_vessel,0.983,0.708,21.426,86.0,10.21915,75.81828,"POLYGON((75.8482 10.21712, 75.83342 10.23313, 75.82249 10.24457, 75.80629 10.24506, 75.80093 10.22835, 75.79061 10.21242, 75.80582 10.19223, 75.82111 10.19488, 75.8408 10.2013, 75.8482 10.21712))",False
SLK-0033,2026-08-06T01:18:41Z,Sentinel-1A,Sentinel1A_20260806_011841_638,coincident_vessel,0.804,0.628,5.237,64.3,9.76539,75.75173,"POLYGON((75.76449 9.76611, 75.75833 9.77389, 75.75299 9.78016, 75.74366 9.77344, 75.74094 9.76382, 75.74197 9.75453, 75.75281 9.75169, 75.76228 9.75685, 75.76449 9.76611))",False
SLK-0007,2026-08-06T17:59:03Z,Sentinel-1B,Sentinel1B_20260806_175903_617,coincident_vessel,0.827,0.961,11.974,29.4,10.28385,76.36674,"POLYGON((76.38518 10.28476, 76.37197 10.29623, 76.35761 10.29599, 76.3464 10.2815, 76.35763 10.27147, 76.37359 10.26942, 76.38518 10.28476))",False
SLK-0051,2026-08-06T19:37:52Z,Sentinel-1B,Sentinel1B_20260806_193752_340,coincident_vessel,0.892,0.75,13.344,13.6,10.13065,75.69967,"POLYGON((75.72171 10.12923, 75.70973 10.14777, 75.68677 10.14893, 75.68259 10.12825, 75.69181 10.11805, 75.71172 10.11078, 75.72171 10.12923))",False
SLK-0043,2026-08-09T06:16:26Z,EOS-04,EOS04_20260809_061626_900,natural_seep,0.762,0.29,4.158,27.2,10.18342,75.63292,"POLYGON((75.64343 10.18388, 75.63843 10.1921, 75.63194 10.19301, 75.62274 10.18855, 75.62524 10.17891, 75.6321 10.17281, 75.63786 10.1751, 75.64343 10.18388))",False
SLK-0114,2026-08-10T08:29:38Z,Sentinel-1A,Sentinel1A_20260810_082938_348,old_vessel,0.816,0.509,19.028,75.7,9.92401,76.03074,"POLYGON((76.05827 9.92642, 76.04585 9.93743, 76.03188 9.94992, 76.02089 9.94137, 76.01524 9.93122, 76.01525 9.91796, 76.02297 9.90761, 76.0355 9.90047, 76.04611 9.90929, 76.05827 9.92642))",False
SLK-0103,2026-08-10T11:29:46Z,EOS-04,EOS04_20260810_112946_932,coincident_vessel,0.904,0.725,16.674,43.5,10.10783,75.92427,"POLYGON((75.93996 10.10649, 75.93337 10.12316, 75.91874 10.127, 75.90789 10.1187, 75.90227 10.10106, 75.91961 10.0888, 75.94022 10.08995, 75.93996 10.10649))",False
SLK-0094,2026-08-10T13:08:08Z,EOS-04,EOS04_20260810_130808_305,old_vessel,0.846,0.545,6.928,40.1,9.55126,76.0896,"POLYGON((76.10411 9.5529, 76.09643 9.55979, 76.08629 9.56556, 76.07352 9.55708, 76.07595 9.5459, 76.08744 9.53519, 76.10181 9.53945, 76.10411 9.5529))",False
SLK-0018,2026-08-10T20:07:13Z,Sentinel-1B,Sentinel1B_20260810_200713_420,coincident_vessel,0.964,0.844,13.402,6.8,9.57502,76.20142,"POLYGON((76.22138 9.57432, 76.21561 9.58738, 76.20188 9.59689, 76.18862 9.59096, 76.18209 9.57285, 76.19011 9.56111, 76.2035 9.55749, 76.21512 9.56393, 76.22138 9.57432))",True
SLK-0058,2026-08-11T01:41:38Z,Sentinel-1B,Sentinel1B_20260811_014138_141,coincident_vessel,0.959,0.832,11.896,62.9,9.44863,75.97287,"POLYGON((75.99055 9.44671, 75.98574 9.45853, 75.97506 9.46326, 75.95458 9.46224, 75.95239 9.44751, 75.96185 9.43989, 75.97324 9.43041, 75.98381 9.44001, 75.99055 9.44671))",False
SLK-0016,2026-08-12T03:38:31Z,EOS-04,EOS04_20260812_033831_529,ambiguous,0.731,0.37,5.182,2.9,10.18423,76.13334,"POLYGON((76.14604 10.18478, 76.14166 10.19428, 76.13093 10.19282, 76.12626 10.18885, 76.12586 10.17922, 76.12974 10.17294, 76.13982 10.17567, 76.14604 10.18478))",False
SLK-0010,2026-08-12T14:47:35Z,Sentinel-1A,Sentinel1A_20260812_144735_418,ambiguous,0.822,0.322,18.376,45.4,10.04902,75.64948,"POLYGON((75.66582 10.04769, 75.65915 10.0616, 75.65211 10.06732, 75.63108 10.06378, 75.62777 10.0507, 75.62747 10.03186, 75.64928 10.03042, 75.66545 10.032, 75.66582 10.04769))",False
SLK-0056,2026-08-12T15:39:26Z,EOS-04,EOS04_20260812_153926_452,coincident_vessel,0.892,0.73,10.454,51.4,9.43638,75.97144,"POLYGON((75.98442 9.43816, 75.98534 9.45164, 75.96976 9.455, 75.95706 9.45169, 75.95423 9.43611, 75.96228 9.42918, 75.97193 9.41959, 75.98314 9.42758, 75.98442 9.43816))",False
SLK-0070,2026-08-13T02:14:41Z,EOS-04,EOS04_20260813_021441_192,old_vessel,0.967,0.475,9.583,89.3,9.42054,76.33187,"POLYGON((76.34907 9.42122, 76.34176 9.43318, 76.32437 9.43512, 76.31405 9.42145, 76.32153 9.40648, 76.34462 9.40476, 76.34907 9.42122))",False
SLK-0027,2026-08-14T03:54:54Z,Sentinel-1A,Sentinel1A_20260814_035454_510,ambiguous,0.936,0.363,20.546,69.4,9.48983,75.75138,"POLYGON((75.77206 9.48982, 75.77653 9.50522, 75.75652 9.51888, 75.74234 9.50885, 75.73077 9.50052, 75.72855 9.47857, 75.73926 9.46954, 75.75754 9.4686, 75.77354 9.47541, 75.77206 9.48982))",False
SLK-0053,2026-08-14T12:12:35Z,Sentinel-1B,Sentinel1B_20260814_121235_833,ambiguous,0.916,0.602,0.44,39.0,9.33583,76.12164,"POLYGON((76.12599 9.33621, 76.1236 9.33952, 76.11971 9.33899, 76.11855 9.33587, 76.11996 9.33218, 76.12344 9.33337, 76.12599 9.33621))",False
SLK-0071,2026-08-14T17:29:14Z,Sentinel-1B,Sentinel1B_20260814_172914_731,coincident_vessel,0.816,0.63,16.777,46.4,9.49811,75.97555,"POLYGON((76.00295 9.49861, 75.98657 9.51195, 75.97244 9.51782, 75.95516 9.50645, 75.95663 9.49167, 75.97105 9.48175, 75.98908 9.47967, 76.00295 9.49861))",True
SLK-0065,2026-08-14T21:05:06Z,Sentinel-1A,Sentinel1A_20260814_210506_855,coincident_vessel,0.702,0.817,4.817,40.6,10.08573,76.07348,"POLYGON((76.08679 10.08559, 76.08362 10.09475, 76.07236 10.09384, 76.06706 10.09109, 76.06424 10.08581, 76.06497 10.07543, 76.07434 10.07715, 76.08081 10.07959, 76.08679 10.08559))",False
SLK-0120,2026-08-14T23:50:42Z,Sentinel-1A,Sentinel1A_20260814_235042_355,old_vessel,0.876,0.627,16.325,16.6,9.97139,75.61065,"POLYGON((75.62962 9.96944, 75.62214 9.98093, 75.60974 9.98841, 75.59191 9.98778, 75.58813 9.96931, 75.59362 9.95228, 75.61004 9.95322, 75.61953 9.95991, 75.62962 9.96944))",False
SLK-0106,2026-08-15T06:48:49Z,Sentinel-1B,Sentinel1B_20260815_064849_186,ambiguous,0.717,0.322,14.545,50.1,9.59572,75.9819,"POLYGON((75.99932 9.59686, 75.99929 9.61133, 75.97939 9.61624, 75.97026 9.60993, 75.95769 9.59469, 75.96758 9.5805, 75.98159 9.57814, 75.99839 9.58225, 75.99932 9.59686))",True
SLK-0049,2026-08-16T04:56:33Z,EOS-04,EOS04_20260816_045633_467,recent_vessel,0.77,0.99,17.83,39.1,9.61959,75.73293,"POLYGON((75.76117 9.62089, 75.74455 9.63649, 75.72554 9.63325, 75.71026 9.61819, 75.71863 9.5997, 75.7424 9.59977, 75.76117 9.62089))",False
SLK-0102,2026-08-16T07:55:31Z,Sentinel-1B,Sentinel1B_20260816_075531_146,ambiguous,0.944,0.511,11.532,28.7,9.34773,75.67271,"POLYGON((75.69031 9.3478, 75.68165 9.36214, 75.66116 9.36477, 75.65434 9.34852, 75.66739 9.33666, 75.68231 9.33376, 75.69031 9.3478))",True
SLK-0079,2026-08-17T23:35:30Z,Sentinel-1A,Sentinel1A_20260817_233530_812,recent_vessel,0.899,0.811,7.766,69.8,9.5519,75.63234,"POLYGON((75.64738 9.54992, 75.63704 9.5627, 75.6265 9.56122, 75.62164 9.55044, 75.62606 9.54035, 75.64121 9.5392, 75.64738 9.54992))",False
SLK-0028,2026-08-18T01:22:34Z,Sentinel-1B,Sentinel1B_20260818_012234_252,recent_vessel,0.756,0.736,11.118,73.5,9.57972,76.53964,"POLYGON((76.55259 9.57829, 76.55147 9.59825, 76.5315 9.59308, 76.5215 9.58164, 76.5331 9.56928, 76.54693 9.562, 76.55259 9.57829))",False
SLK-0039,2026-08-18T08:41:51Z,EOS-04,EOS04_20260818_084151_165,natural_seep,0.878,0.717,14.494,17.3,9.31266,75.73035,"POLYGON((75.75516 9.31018, 75.74168 9.33234, 75.72162 9.32553, 75.70758 9.31519, 75.71685 9.29289, 75.73835 9.30124, 75.75516 9.31018))",False
SLK-0084,2026-08-18T14:46:34Z,Sentinel-1A,Sentinel1A_20260818_144634_563,old_vessel,0.763,0.677,10.443,44.7,9.3145,76.0067,"POLYGON((76.02264 9.31331, 76.02105 9.32951, 75.99941 9.3337, 75.99173 9.31955, 75.98619 9.30797, 76.00413 9.29823, 76.01615 9.30226, 76.02264 9.31331))",False
SLK-0077,2026-08-19T00:33:39Z,Sentinel-1B,Sentinel1B_20260819_003339_903,old_vessel,0.956,0.572,10.484,34.1,9.76124,75.76226,"POLYGON((75.77522 9.76164, 75.77789 9.77335, 75.76093 9.77592, 75.74777 9.77429, 75.74656 9.76109, 75.74927 9.74909, 75.76257 9.74011, 75.77256 9.75035, 75.77522 9.76164))",False
SLK-0073,2026-08-20T07:04:23Z,Sentinel-1A,Sentinel1A_20260820_070423_631,natural_seep,0.895,0.494,4.502,20.0,9.47708,76.50696,"POLYGON((76.51776 9.47826, 76.51547 9.4834, 76.50952 9.48693, 76.50226 9.48848, 76.49796 9.48068, 76.49534 9.47247, 76.50168 9.46745, 76.51059 9.46496, 76.51513 9.4704, 76.51776 9.47826))",False
SLK-0095,2026-08-20T19:28:45Z,Sentinel-1B,Sentinel1B_20260820_192845_925,ambiguous,0.818,0.335,2.032,90.6,10.02423,75.73353,"POLYGON((75.74089 10.02438, 75.73834 10.03063, 75.72907 10.03144, 75.72619 10.02418, 75.72883 10.0181, 75.73725 10.01894, 75.74089 10.02438))",False
SLK-0004,2026-08-23T02:32:50Z,Sentinel-1A,Sentinel1A_20260823_023250_767,natural_seep,0.728,0.366,9.512,41.0,9.76702,76.29262,"POLYGON((76.31055 9.76468, 76.29773 9.77791, 76.28583 9.78157, 76.27981 9.76839, 76.28269 9.7505, 76.29989 9.74989, 76.31055 9.76468))",False
SLK-0040,2026-08-23T06:05:07Z,EOS-04,EOS04_20260823_060507_858,coincident_vessel,0.983,0.86,13.824,47.9,9.81078,75.65267,"POLYGON((75.66902 9.81014, 75.66693 9.82464, 75.64806 9.82593, 75.6401 9.8167, 75.63889 9.80231, 75.64855 9.79368, 75.66566 9.79073, 75.66902 9.81014))",True
SLK-0105,2026-08-24T12:23:42Z,EOS-04,EOS04_20260824_122342_472,old_vessel,0.778,0.707,11.363,64.4,10.0064,76.4803,"POLYGON((76.50244 10.00836, 76.49627 10.0218, 76.48197 10.02459, 76.47249 10.01693, 76.46377 10.01198, 76.4673 10.00314, 76.47113 9.99354, 76.48501 9.98769, 76.49445 9.99646, 76.50244 10.00836))",True
SLK-0064,2026-08-24T13:20:24Z,Sentinel-1B,Sentinel1B_20260824_132024_661,recent_vessel,0.723,0.808,1.45,84.4,9.84843,75.62505,"POLYGON((75.63311 9.84849, 75.63062 9.85202, 75.62736 9.85579, 75.6226 9.85295, 75.61928 9.85005, 75.61891 9.84697, 75.62244 9.84484, 75.62607 9.84085, 75.63011 9.8451, 75.63311 9.84849))",False
SLK-0097,2026-08-24T19:24:58Z,Sentinel-1B,Sentinel1B_20260824_192458_277,coincident_vessel,0.708,0.99,1.194,61.8,9.93016,76.35147,"POLYGON((76.35604 9.92948, 76.35541 9.93448, 76.35096 9.93485, 76.3454 9.93258, 76.34761 9.92811, 76.35043 9.92501, 76.35542 9.92642, 76.35604 9.92948))",False
SLK-0030,2026-08-25T06:49:10Z,EOS-04,EOS04_20260825_064910_304,natural_seep,0.856,0.583,20.53,67.0,9.43727,76.18489,"POLYGON((76.21054 9.43531, 76.20047 9.45691, 76.1829 9.45901, 76.16843 9.44382, 76.17073 9.42908, 76.17879 9.40894, 76.2026 9.41407, 76.21054 9.43531))",False
SLK-0006,2026-08-25T12:33:44Z,Sentinel-1A,Sentinel1A_20260825_123344_478,natural_seep,0.958,0.554,13.645,40.5,9.88367,76.09664,"POLYGON((76.11809 9.88179, 76.11022 9.8951, 76.09578 9.90017, 76.08201 9.89977, 76.07821 9.88601, 76.08195 9.86407, 76.09463 9.86825, 76.11238 9.86581, 76.11809 9.88179))",True
SLK-0062,2026-08-25T12:50:56Z,Sentinel-1B,Sentinel1B_20260825_125056_602,recent_vessel,0.97,0.852,5.205,23.6,9.56541,75.81775,"POLYGON((75.82844 9.56648, 75.8228 9.57285, 75.81629 9.58011, 75.8103 9.56897, 75.80502 9.55761, 75.81645 9.55479, 75.82619 9.5537, 75.82844 9.56648))",False
SLK-0083,2026-08-26T01:28:57Z,Sentinel-1A,Sentinel1A_20260826_012857_908,infrastructure,0.87,0.893,1.243,42.1,9.51617,76.17896,"POLYGON((76.18345 9.51602, 76.1825 9.52119, 76.17727 9.52051, 76.17353 9.51953, 76.17469 9.51479, 76.1783 9.51068, 76.18179 9.51186, 76.18345 9.51602))",True
SLK-0075,2026-08-27T03:23:45Z,Sentinel-1A,Sentinel1A_20260827_032345_876,old_vessel,0.714,0.704,0.856,82.0,9.967,76.39611,"POLYGON((76.3997 9.96682, 76.40097 9.97078, 76.39653 9.97107, 76.39215 9.97054, 76.39116 9.96689, 76.39281 9.96268, 76.39597 9.96361, 76.39936 9.96428, 76.3997 9.96682))",False
SLK-0081,2026-08-28T01:52:47Z,Sentinel-1A,Sentinel1A_20260828_015247_348,ambiguous,0.769,0.456,8.583,76.2,9.94341,76.0747,"POLYGON((76.08533 9.94488, 76.08556 9.95154, 76.07624 9.95737, 76.06771 9.95815, 76.0567 9.94972, 76.06086 9.93665, 76.06916 9.93216, 76.0755 9.92643, 76.08292 9.93657, 76.08533 9.94488))",False
SLK-0008,2026-08-29T01:51:36Z,Sentinel-1B,Sentinel1B_20260829_015136_236,infrastructure,0.985,0.797,13.467,73.9,9.75542,76.44183,"POLYGON((76.4594 9.75656, 76.45148 9.76664, 76.43535 9.77757, 76.41987 9.76309, 76.42827 9.74755, 76.43902 9.73476, 76.45387 9.74021, 76.4594 9.75656))",False
SLK-0061,2026-08-29T21:24:51Z,Sentinel-1A,Sentinel1A_20260829_212451_165,coincident_vessel,0.807,0.676,12.23,24.7,9.60665,75.92714,"POLYGON((75.94895 9.60817, 75.94235 9.62051, 75.93096 9.62619, 75.92102 9.62009, 75.91201 9.61259, 75.9083 9.59957, 75.92075 9.59397, 75.93105 9.59476, 75.93681 9.59641, 75.94895 9.60817))",False
SLK-0111,2026-08-30T21:36:56Z,Sentinel-1A,Sentinel1A_20260830_213656_326,natural_seep,0.967,0.568,13.413,0.9,9.30958,75.76486,"POLYGON((75.7841 9.31108, 75.77941 9.3239, 75.76888 9.32235, 75.75272 9.32625, 75.74842 9.31455, 75.74447 9.30003, 75.7567 9.29691, 75.77018 9.28944, 75.77709 9.29596, 75.7841 9.31108))",True
SLK-0067,2026-08-31T01:13:52Z,Sentinel-1A,Sentinel1A_20260831_011352_306,old_vessel,0.847,0.576,16.154,84.8,9.91973,75.94587,"POLYGON((75.96115 9.91892, 75.95843 9.94069, 75.94285 9.94221, 75.93054 9.92557, 75.92768 9.9125, 75.94156 9.90484, 75.95581 9.90858, 75.96115 9.91892))",True
SLK-0012,2026-08-31T12:35:41Z,EOS-04,EOS04_20260831_123541_605,coincident_vessel,0.767,0.75,10.016,66.1,10.22391,76.34844,"POLYGON((76.36522 10.22354, 76.36041 10.24011, 76.34459 10.23524, 76.33611 10.23134, 76.3337 10.21553, 76.34485 10.21196, 76.36064 10.21048, 76.36522 10.22354))",True
